,Id,StoriGroupId,ScanNumber,IonNumber,Mz,Slope,InverseInjectionTimeSeconds,RSquared,TimeOfBirth,TimeOfDeath,Charge,ChargeScore,IsMultiIonProduct,FrequencyCorrectionMzDistance
0,1,1,2412,278,1890.22741699219,502695.511698723,11.9259162085127,0.997820258140564,0.0200391389432485,1.74340508806262,11,0.85599983215332,0,
1,2,1,1768,1090,3471.18188476562,1071441.21003151,59.3119810201661,0.999006867408752,0.0,1.89570254403131,24,0.891205062866211,0,
3,4,1,2416,3718,4620.51904296875,711092.925786972,16.1762564907229,0.998693287372589,0.0040078277886497,1.57106849315069,15,0.532673070322184,0,
11,12,1,1861,1900,4279.0703125,635881.833553314,78.3208020050125,0.998063325881958,0.0160313111545988,1.84360078277886,13,0.752240905761719,0,
19,20,1,338,1156,4162.78759765625,713138.422369957,106.757766627522,0.99746435880661,0.0240469667318982,1.87566340508806,16,0.732657623291016,0,
20,21,1,2220,1027,3420.21142578125,602532.667398453,99.1866693116445,0.998852252960205,0.0480939334637965,1.72737377690802,14,0.503156814575195,0,
23,24,1,2250,634,2266.48828125,441842.856407166,58.2716624905308,0.993312835693359,0.0,1.85963209393346,9,0.761657485961914,0,
27,28,1,2192,1032,2675.96997070312,424940.234482288,61.9732275656916,0.999302268028259,0.0921800391389433,1.83959295499022,9,0.971108856201172,0,
28,29,1,1482,629,4334.6298828125,803781.412363052,92.2509225092251,0.999345660209656,0.0160313111545988,1.84760861056751,16,0.777719251840153,0,
36,37,1,1380,687,4073.34423828125,834496.45113945,94.0999341300461,0.998450756072998,0.0240469667318982,1.51896673189824,17,0.878472223016951,0,
40,41,1,1188,1131,3462.634765625,1180212.23759651,81.5993472052224,0.999406516551971,0.0320626223091977,1.85161643835616,24,0.629361200665375,0,
41,42,1,2266,1254,4752.65283203125,656632.363557816,73.7082626962482,0.998362720012665,0.0320626223091977,1.89169471624266,15,0.609126349706547,0,
42,43,1,477,942,3700.96826171875,627825.273156166,110.766504209127,0.995550453662872,0.0200391389432485,1.89570254403131,13,0.692112808227539,0,0.16650390625
46,47,1,1721,2895,2833.64331054687,589071.217775345,28.1460215598525,0.997791886329651,0.0721409001956947,1.83959295499022,12,0.589697456359863,0,
50,51,1,2208,1180,4089.69140625,862464.911699295,77.6880049720323,0.99943333864212,0.0360704500978474,1.3786927592955,17,0.701095275878906,0,
56,57,1,1783,1020,3267.15283203125,961907.514810562,76.1730652041438,0.998476386070251,0.0120234833659491,1.84760861056751,20,0.53082591775315,0,
58,59,1,1615,474,2440.83715820312,481399.083435535,92.6698174404596,0.998427391052246,0.0120234833659491,1.87967123287671,13,0.617425804138184,0,
65,66,1,298,631,2538.56909179687,510217.047333717,97.5229178857031,0.994605779647827,0.0,1.79149902152642,10,0.966959075927734,0,
69,70,1,257,920,3963.537109375,652207.307338715,112.752283233735,0.999370694160461,0.0120234833659491,1.60713894324853,16,0.693821411132813,0,
76,77,1,456,1391,3810.95629882812,603759.149074554,100.421771440048,0.996967136859894,0.0160313111545988,1.57507632093933,12,0.519863966380007,0,
85,86,1,103,567,2331.52734375,432189.414918423,88.809946714032,0.99633514881134,0.0040078277886497,1.86363992172211,9,0.911539299891609,0,
93,94,1,70,769,3277.22705078125,1014997.7118969,93.9231708462478,0.998236477375031,0.0160313111545988,1.79550684931507,21,0.895231552124023,0,
96,97,1,1553,610,3391.19995117187,911716.246724129,91.2159080543647,0.998761653900147,0.0320626223091977,1.81955381604697,18,0.636516761779785,0,
